quantile,fe0215_mlo_le,fe0215_mlo,fe0215_le,fe0215_god2,mean_xval,xname
1,2.3422518238623877,2.341676989356781,2.342836194667137,2.3422860787799618,1.3307293543940608,ln_apl_mean_0215
2,2.323726813861189,2.3232237447382373,2.324632568951188,2.324251748141783,2.2576424136644277,ln_apl_mean_0215
3,2.3158702506877624,2.314933660222037,2.316580080185154,2.3157831649407785,2.561361060506245,ln_apl_mean_0215
4,2.3091591960445417,2.3084709366709157,2.3098865589310282,2.3092170826848593,2.7494474977950496,ln_apl_mean_0215
5,2.3057480141005144,2.3052210188793,2.306624093270011,2.3060578701481846,2.883848715267256,ln_apl_mean_0215
6,2.304795167100328,2.3042092274973474,2.3054851334983866,2.3049623775605186,2.9878405720921895,ln_apl_mean_0215
7,2.303056319091186,2.3023661100044754,2.3038722993704153,2.3031919900835893,3.0728999830622388,ln_apl_mean_0215
8,2.299386215071613,2.2988223894636444,2.3001241385307885,2.299620058837398,3.1439841577045238,ln_apl_mean_0215
9,2.3004115793365774,2.300064180587269,2.301185587983146,2.3008686949189485,3.2050017088768614,ln_apl_mean_0215
10,2.301877561706924,2.301145157868537,2.302677088315763,2.302003830205805,3.259541898558494,ln_apl_mean_0215
11,2.29880060567999,2.2981974850377695,2.2996541201302967,2.299059268613718,3.308748924152495,ln_apl_mean_0215
12,2.302854451708073,2.302565066999582,2.303710708834797,2.3034937561473994,3.352818370334386,ln_apl_mean_0215
13,2.304720705995925,2.3040647997327532,2.305531722508592,2.3049550329035156,3.3939437149092266,ln_apl_mean_0215
14,2.3038765663388783,2.303451147162538,2.3047093681214426,2.30437045050141,3.432481607051546,ln_apl_mean_0215
15,2.308486661544496,2.308009617723319,2.3092949725352945,2.3089174676411113,3.468502702552896,ln_apl_mean_0215
16,2.3121076404077483,2.3114317005512133,2.3128782804693118,2.312255565709276,3.5028005934398756,ln_apl_mean_0215
17,2.3128012341934703,2.312314763474626,2.313689853217352,2.3132868158412676,3.535201576698057,ln_apl_mean_0215
18,2.3161480381142714,2.316009326696776,2.317078231716085,2.3170394537043104,3.5662330035754954,ln_apl_mean_0215
19,2.3190419277802863,2.3183830417557494,2.3198396740038616,2.3192397696718943,3.596281487098508,ln_apl_mean_0215
20,2.3217828115332604,2.3214802007027173,2.322661255115875,2.3223964759136653,3.6254869250230928,ln_apl_mean_0215
21,2.3242281129033135,2.3238825386787005,2.3249887169497967,2.324742028597026,3.6539032542552334,ln_apl_mean_0215
22,2.327032955046042,2.3263280184861426,2.3278591846668797,2.3271720047173274,3.681600806579206,ln_apl_mean_0215
23,2.3301700146345947,2.3300613972227864,2.3311024996800036,2.3310075259279848,3.708799304730261,ln_apl_mean_0215
24,2.335085126111052,2.334784523089373,2.335950938121084,2.335672198707668,3.735574569228768,ln_apl_mean_0215
25,2.3350500988389045,2.3348169063147552,2.3357953568140415,2.33570618811112,3.762334357268822,ln_apl_mean_0215
26,2.3400620104848704,2.33972533609602,2.3409779796201926,2.3406308314585593,3.7892003475892504,ln_apl_mean_0215
27,2.3417830709302323,2.341457792255883,2.342602037724874,2.3423455083785254,3.8159476298927757,ln_apl_mean_0215
28,2.3442837328760944,2.343986433610684,2.345227336842746,2.344986045842329,3.8429853645629777,ln_apl_mean_0215
29,2.3482352642606115,2.348015985844792,2.3490369560966338,2.3489119252979176,3.870171808855601,ln_apl_mean_0215
30,2.351161127332977,2.350779408019538,2.3519322001850616,2.351618852712231,3.8977089610984463,ln_apl_mean_0215
31,2.355606483766194,2.3552327818649186,2.356568074826705,2.3562794703422623,3.925775789740967,ln_apl_mean_0215
32,2.359250827570441,2.358741785325251,2.360114451532016,2.3596540774969554,3.9544554284652698,ln_apl_mean_0215
33,2.358980340160193,2.3586850127048087,2.359878274552143,2.359693715810463,3.9837451105514896,ln_apl_mean_0215
34,2.3655835056683165,2.3652670341856963,2.366363233529406,2.366218091186243,4.014089905277848,ln_apl_mean_0215
35,2.3669867394912143,2.3665478516349254,2.3679712942254354,2.3676026088907043,4.045467253191264,ln_apl_mean_0215
36,2.373665024576625,2.3735416518655956,2.374501861133963,2.3744519470953445,4.077937581139959,ln_apl_mean_0215
37,2.374479572517634,2.3743586308865163,2.3753487154657753,2.3753240796456523,4.112170318069684,ln_apl_mean_0215
38,2.3800427381423104,2.3798025883982508,2.3809877044771786,2.3808441289628743,4.14811462983033,ln_apl_mean_0215
39,2.3827069606333384,2.382243030907665,2.38359325177689,2.3831949302093762,4.18607198996133,ln_apl_mean_0215
40,2.3861638425381884,2.3857739878840105,2.3869405097488525,2.3866538657773,4.226671769517979,ln_apl_mean_0215
41,2.3920142407774487,2.3916231419796503,2.3928657002448546,2.392562032784287,4.270264868365024,ln_apl_mean_0215
42,2.396357419243199,2.3959113198203865,2.3970381087115205,2.3966692495354045,4.317408266576168,ln_apl_mean_0215
43,2.4002152873933484,2.4000133385222298,2.4009929364325933,2.4009340221470628,4.369242173188778,ln_apl_mean_0215
44,2.4062723442568914,2.4059217524956122,2.407182870985522,2.4069030928184136,4.427710855412734,ln_apl_mean_0215
45,2.414379820103769,2.4139095883460735,2.415320744764105,2.414963993119468,4.493526073350399,ln_apl_mean_0215
46,2.4197929903225655,2.4195847105603834,2.420719758393555,2.4207221014384754,4.570653984633539,ln_apl_mean_0215
47,2.4294641675035815,2.4290208475106487,2.430318757431901,2.4300566516132736,4.66652519829438,ln_apl_mean_0215
48,2.439752380169259,2.439908024661101,2.4406920857159067,2.4409676202519464,4.795281830377722,ln_apl_mean_0215
49,2.4531691262529125,2.453345702871888,2.453852494350381,2.454294413582013,4.996768005363856,ln_apl_mean_0215
50,2.480133427448358,2.480422893900231,2.4811097997444933,2.4817129457142015,5.619561831591135,ln_apl_mean_0215
1,2.3431199698479226,2.3425083068850774,2.3437778866615893,2.34321626743687,-2.4352403602838084,prod_res_mean_0215
2,2.322109109721263,2.3213690401448757,2.322826089913488,2.322170062031934,-1.4684182324212411,prod_res_mean_0215
3,2.3122111796495983,2.3114273098808433,2.3128383655370146,2.3120701633236935,-1.160470073445395,prod_res_mean_0215
4,2.305044498899385,2.304228451318182,2.305762110134457,2.305053370534102,-0.9782618714063637,prod_res_mean_0215
5,2.297628268586473,2.2967917284184876,2.298325424356335,2.2975149677129756,-0.8503233548204959,prod_res_mean_0215
6,2.2934875027852586,2.293111358401871,2.2943225943265495,2.294039202434785,-0.7541050468674673,prod_res_mean_0215
7,2.289291772977902,2.2883612118207592,2.2899435731197193,2.2891295863881673,-0.6770937951557469,prod_res_mean_0215
8,2.2890199945997014,2.2884275555696547,2.2897488036028335,2.289197748887036,-0.6127768247135776,prod_res_mean_0215
9,2.288852216088388,2.288213771237007,2.2896338073762843,2.2890767901367037,-0.5576328633044456,prod_res_mean_0215
10,2.2884254140311042,2.2878318927122465,2.2891636255860424,2.288620823082009,-0.5091853408815926,prod_res_mean_0215
11,2.291519688081669,2.2906962649391116,2.2922631851518362,2.291498119772617,-0.46596469338796564,prod_res_mean_0215
12,2.293105428433756,2.2924877229800655,2.2938400250354727,2.2933252808247735,-0.42661718449798885,prod_res_mean_0215
13,2.2974250481364344,2.2969485543924604,2.298305396714847,2.297865184985807,-0.38995348301407756,prod_res_mean_0215
14,2.29839781871903,2.297961706641048,2.2992508968449616,2.2989155633742633,-0.35584481068088064,prod_res_mean_0215
15,2.3002158405037765,2.299673943884972,2.3010304498485668,2.300541011968449,-0.3239080351733106,prod_res_mean_0215
16,2.304108496287268,2.3037187307586064,2.304919889684547,2.3045325495791764,-0.2936027990742805,prod_res_mean_0215
17,2.3090783046858885,2.308154198603182,2.3099979599492277,2.309139334037507,-0.26429228537261357,prod_res_mean_0215
18,2.3110463062067326,2.3105985641192675,2.3117772453285763,2.311444369832044,-0.2361102981785243,prod_res_mean_0215
19,2.3121294828535324,2.311761444456428,2.3129814824860184,2.3126660171394957,-0.20875803169833218,prod_res_mean_0215
20,2.3167589120889898,2.316225745595829,2.317706938361837,2.317263616006866,-0.18223555952869386,prod_res_mean_0215
21,2.3216324455165473,2.3212926400916114,2.3224448944947382,2.3221703763988026,-0.15629800948721498,prod_res_mean_0215
22,2.323225897274961,2.322910300250196,2.3240673018447873,2.3238086133933815,-0.1308106321082013,prod_res_mean_0215
23,2.3248304945635865,2.32440211707978,2.3255898284564247,2.325157947048979,-0.1058486235448958,prod_res_mean_0215
24,2.3287242092501805,2.3283488580130296,2.3295750748598585,2.329246098227362,-0.0811734195625804,prod_res_mean_0215
25,2.33436286172123,2.33379150119641,2.335248514997993,2.334746144851738,-0.05663221576350033,prod_res_mean_0215
26,2.3371270137756412,2.3369385935039264,2.337961399257037,2.337851341609521,-0.03196834233770535,prod_res_mean_0215
27,2.3406571935414533,2.340528236313029,2.3414587775719204,2.3413289953178014,-0.007258941055420127,prod_res_mean_0215
28,2.343389209387876,2.343057342056838,2.3443486226015566,2.3440833592910617,0.017431986386831612,prod_res_mean_0215
29,2.3485311805950393,2.3481850688611052,2.3494182879883176,2.349029289619642,0.0427122965069193,prod_res_mean_0215
30,2.351041289555769,2.350774368325729,2.3518870645275434,2.351632846105467,0.06846669586914286,prod_res_mean_0215
31,2.3531948355971526,2.352933168502515,2.353920681562608,2.353763747684151,0.09475338012322404,prod_res_mean_0215
32,2.360245947697672,2.360035741209711,2.3610839340352188,2.3608716925358473,0.12160824996365874,prod_res_mean_0215
33,2.3628549969069628,2.362721332169693,2.3637802388737326,2.36372530537354,0.14895743618480034,prod_res_mean_0215
34,2.3638060308715056,2.36351503222703,2.3646789780380533,2.3644041130431157,0.17717042891537838,prod_res_mean_0215
35,2.3681552888806507,2.367726686800788,2.368960000730077,2.3685845343650533,0.20641606555240966,prod_res_mean_0215
36,2.3736090044017457,2.373307617372156,2.374512935658097,2.3743061691822454,0.23697281194141895,prod_res_mean_0215
37,2.3777120213790086,2.3773998976327424,2.3786627274650893,2.3783558320727356,0.2689530306628323,prod_res_mean_0215
38,2.383029611166333,2.3826404615267713,2.383959398476163,2.3837158804690026,0.30231123810237975,prod_res_mean_0215
39,2.3883951880272263,2.387824172105323,2.389343464080208,2.3887422559539613,0.3374329680514252,prod_res_mean_0215
40,2.3924905193152335,2.392229999822055,2.3934177151167684,2.393303762381408,0.37529604907843556,prod_res_mean_0215
41,2.39482623880741,2.3947834480453305,2.395569722818882,2.3956511771312963,0.4159624889136764,prod_res_mean_0215
42,2.4018396687227788,2.401178024235475,2.402849041240697,2.4022708724172763,0.4599701788826879,prod_res_mean_0215
43,2.4067053330244925,2.4062180910834177,2.4075985828297175,2.4072287824137275,0.5078740106645059,prod_res_mean_0215
44,2.4140299190130947,2.4138423848169337,2.41499692379074,2.4150165892865783,0.5617626930446471,prod_res_mean_0215
45,2.422512417006967,2.4223307980453264,2.4233773779088073,2.4233859424647997,0.6233696423411302,prod_res_mean_0215
46,2.4377818393534265,2.437370151887971,2.438407036191918,2.4381321763811936,0.6961556717799877,prod_res_mean_0215
47,2.4459199635816433,2.445878917804169,2.4468148529770377,2.4469353861197836,0.7866057760309366,prod_res_mean_0215
48,2.4613897007989527,2.4617587747494953,2.462325152589211,2.462930724904018,0.9065672060209518,prod_res_mean_0215
49,2.4797420048634846,2.4805317192235186,2.4806624400157395,2.4817386408515505,1.0940402201080475,prod_res_mean_0215
50,2.514274777619992,2.5147816596926065,2.51544906633463,2.51635450436867,1.6746018085780452,prod_res_mean_0215
1,2.347064192319553,2.346499316966035,2.347700773671942,2.3472384896598504,-2.2827748737435933,prod_res_mean_0215_d2res
2,2.332110114632727,2.331567182564707,2.332881841671095,2.332465494796787,-1.3111486026205301,prod_res_mean_0215_d2res
3,2.3218844645815273,2.321370741513535,2.3226538362947178,2.3221486159954887,-1.0025965743515315,prod_res_mean_0215_d2res
4,2.3154043345233895,2.3150140778461514,2.3161103051700396,2.315719450355797,-0.8195572635328953,prod_res_mean_0215_d2res
5,2.3128576561693936,2.3121000437972286,2.313629753050779,2.3129934973251505,-0.6925039171786724,prod_res_mean_0215_d2res
6,2.3132841840855347,2.3123934268038813,2.314084712731415,2.313252809419735,-0.5963124405204085,prod_res_mean_0215_d2res
7,2.3121124852378436,2.311569588798517,2.3129338725988355,2.312499150615215,-0.5199681876845084,prod_res_mean_0215_d2res
8,2.3101400867285133,2.3095237273879237,2.3111028452929525,2.310483097262428,-0.45693057699533945,prod_res_mean_0215_d2res
9,2.3089405269765875,2.308574734392802,2.309683850748332,2.309360940843642,-0.4029727182829927,prod_res_mean_0215_d2res
10,2.3096922537363342,2.309407202381073,2.310749025778574,2.3105297895949177,-0.356206194383088,prod_res_mean_0215_d2res
11,2.3106601941953957,2.310218884123356,2.3116060297333516,2.3112691778112824,-0.3146915986449001,prod_res_mean_0215_d2res
12,2.312876186728284,2.312566400131813,2.313781633790984,2.3135443162505194,-0.27695417862280336,prod_res_mean_0215_d2res
13,2.31222673912862,2.311729001024484,2.313085618607405,2.3126286288840734,-0.24227767557817328,prod_res_mean_0215_d2res
14,2.31439928600833,2.3141950355184475,2.315260006975537,2.315119278360078,-0.21041987566718515,prod_res_mean_0215_d2res
15,2.316941329243038,2.316768201966222,2.317805851367206,2.3177289119137594,-0.1808140813127139,prod_res_mean_0215_d2res
16,2.318751815400021,2.3185323724306874,2.319585462428628,2.319461202529279,-0.15283707173741143,prod_res_mean_0215_d2res
17,2.3189042980281163,2.318782079227794,2.3197500787531395,2.319728413306815,-0.1262106349683385,prod_res_mean_0215_d2res
18,2.321426093955651,2.3212575218327878,2.3223005388505222,2.3221633052642487,-0.10051890140619155,prod_res_mean_0215_d2res
19,2.3228110526261214,2.3223890028944756,2.323694301586089,2.323344274040497,-0.07576657623293497,prod_res_mean_0215_d2res
20,2.3259595396103907,2.325916919433458,2.3269381848188613,2.326896409752997,-0.051719372254795455,prod_res_mean_0215_d2res
21,2.326986690193226,2.3269267748095257,2.327947434198972,2.3280194406259,-0.028281829915483767,prod_res_mean_0215_d2res
22,2.328337375269704,2.328218319100024,2.3293006420012796,2.329234415486151,-0.005548618149257603,prod_res_mean_0215_d2res
23,2.330465034301876,2.330023166040413,2.3314290480969424,2.331026171845583,0.017226967406407646,prod_res_mean_0215_d2res
24,2.3350865491752058,2.33492583298931,2.335941122820035,2.335803544243562,0.03976231259640211,prod_res_mean_0215_d2res
25,2.334941506146532,2.3348098839891636,2.3357303397202895,2.3356877295329364,0.06213575658475902,prod_res_mean_0215_d2res
26,2.336239980785788,2.3359945683744225,2.3371312056159628,2.3369479735964336,0.08446443297173406,prod_res_mean_0215_d2res
27,2.340728159832551,2.340109449870882,2.341455343462221,2.340834911216051,0.10660981178574434,prod_res_mean_0215_d2res
28,2.342145123266575,2.3417481003072105,2.34305830009431,2.342702045928588,0.12924448311261588,prod_res_mean_0215_d2res
29,2.343979132495701,2.343642344756642,2.344749678178515,2.344476631116807,0.1520633203832907,prod_res_mean_0215_d2res
30,2.34667586239443,2.3462721936855067,2.347420153468222,2.347043465302309,0.17499089751178204,prod_res_mean_0215_d2res
31,2.349336003604421,2.3490104268025496,2.350215251279937,2.3499742253392784,0.198453383547884,prod_res_mean_0215_d2res
32,2.352542722077332,2.352128536612672,2.353426598850089,2.3531176769473605,0.2226381946615408,prod_res_mean_0215_d2res
33,2.3534403846830836,2.3529645105231114,2.3541989039474114,2.353835489742485,0.24745885378098806,prod_res_mean_0215_d2res
34,2.3562190915733243,2.355839715179801,2.3569258922596314,2.3566337812164972,0.2729649761540733,prod_res_mean_0215_d2res
35,2.3598310397914646,2.3591440902633063,2.3605270005645815,2.3598637905820503,0.2992155757050735,prod_res_mean_0215_d2res
36,2.364071214014398,2.3637793568619574,2.36484243061259,2.36464337837751,0.32669441567023333,prod_res_mean_0215_d2res
37,2.36569641752645,2.3655187978123875,2.366591751305523,2.3665028222322997,0.35537731147457374,prod_res_mean_0215_d2res
38,2.369224814789984,2.3689784382798926,2.370046612910317,2.369803246969313,0.385516952100166,prod_res_mean_0215_d2res
39,2.3745995156890864,2.374272281422439,2.375411484149788,2.375167611336359,0.41723411780814046,prod_res_mean_0215_d2res
40,2.3777522669225997,2.3771322273774924,2.378559264539829,2.378092359787603,0.4512122423319641,prod_res_mean_0215_d2res
41,2.3818685681173086,2.381346030735429,2.3827500459262003,2.382345173866357,0.4877921758732919,prod_res_mean_0215_d2res
42,2.3878902467306813,2.3873024753113636,2.3888224663742963,2.3884207673948117,0.5273609077915008,prod_res_mean_0215_d2res
43,2.3928553869924833,2.392266262809547,2.393625189825129,2.3931879588298774,0.5709778016327135,prod_res_mean_0215_d2res
44,2.3987781116536406,2.398322846811518,2.3995871845741976,2.399258797098361,0.6198485107798607,prod_res_mean_0215_d2res
45,2.404843294636772,2.404226371450906,2.4056443447155456,2.405118883730518,0.6756424698808711,prod_res_mean_0215_d2res
46,2.4130399547489882,2.412399957577643,2.4137486132931003,2.413239999840605,0.7415856351825315,prod_res_mean_0215_d2res
47,2.424257694949413,2.4240071238788223,2.4250250017645123,2.424851237805761,0.8226336542815018,prod_res_mean_0215_d2res
48,2.436672477668056,2.436334203923437,2.4373727600363626,2.4371963956257825,0.929276091676131,prod_res_mean_0215_d2res
49,2.4456830741689752,2.445595072519239,2.4466250688293902,2.4467210324041075,1.0924999812569298,prod_res_mean_0215_d2res
50,2.486377468437761,2.486119421166898,2.487337770309516,2.4874265503166773,1.5831952632013477,prod_res_mean_0215_d2res
