name,Treated,Control,Norm. Diff.,sample,n_treated,n_control
age_cl,37.07514118885805,37.02823642019622,0.008181591728466449,le5_panelsize0,20897,20897
age_cl_sd,8.026406748977301,8.188057607255232,NA,le5_panelsize0,20897,20897
bnuls_siren0912,0.0962242302925002,0.10145701867135734,-0.07657421604355917,le5_panelsize0,20897,20897
bnuls_siren0912_sd,0.09136837400530767,0.10164224934252594,NA,le5_panelsize0,20897,20897
cgt_siren0912,0.32074672570040935,0.33433174783285635,-0.052348845893718195,le5_panelsize0,20897,20897
cgt_siren0912_sd,0.33220232243918413,0.3987760172360512,NA,le5_panelsize0,20897,20897
dads_eqtp_ma3,393.8458279070507,145.77064052159636,0.2771606801126824,le5_panelsize0,20897,20897
dads_eqtp_ma3_sd,1578.1361215693823,844.9908358775775,NA,le5_panelsize0,20897,20897
extwage_agreement_ind_07,0.7428869746802401,0.8128283712784589,-0.23876642131834797,le5_panelsize0,20897,20897
extwage_agreement_ind_07_sd,0.43709928909508045,0.39009194130616537,NA,le5_panelsize0,20897,20897
extwage_agreement_ind_07_alt,0.7252803261977574,0.7901681208767823,-0.21476568871521926,le5_panelsize0,20897,20897
extwage_agreement_ind_07_alt_sd,0.44642979798334365,0.40723181821201415,NA,le5_panelsize0,20897,20897
fe0212_idfhda_ma3,0.11462544835764853,0.1149033812793472,-0.0013525914158175683,le5_panelsize0,20897,20897
fe0212_idfhda_ma3_sd,0.2850611289373162,0.2960257367745523,NA,le5_panelsize0,20897,20897
fe0215_god2,2.4789582292727608,2.446696529885999,0.25977583667317483,le5_panelsize0,20897,20897
fe0215_god2_sd,0.17865067169723206,0.17256039687312882,NA,le5_panelsize0,20897,20897
fe0215_god2_d2FE,0.031748320508761606,0.024023856275697704,0.1491940638304723,le5_panelsize0,20897,20897
fe0215_god2_d2FE_sd,0.0706541950157226,0.07569957089636262,NA,le5_panelsize0,20897,20897
fe0215_god2_d2res,0.10652510606381861,0.06700105726153927,0.34783798257638465,le5_panelsize0,20897,20897
fe0215_god2_d2res_sd,0.1651813406321371,0.15607751551285823,NA,le5_panelsize0,20897,20897
fe0215_god2_q5_full,3.8252941176470587,3.6765742826363725,0.17505991509716862,le5_panelsize0,20897,20897
fe0215_god2_q5_full_sd,1.1809003727113012,1.2216076338767854,NA,le5_panelsize0,20897,20897
fe0215_le,2.467006972943052,2.4457566757669733,0.17275053812265986,le5_panelsize0,20897,20897
fe0215_le_sd,0.17529544048946746,0.17262326876708578,NA,le5_panelsize0,20897,20897
fe0215_le_d2FE,0.03176626922956669,0.023794844474334838,0.15444333398263982,le5_panelsize0,20897,20897
fe0215_le_d2FE_sd,0.07039745059354724,0.07549955550382,NA,le5_panelsize0,20897,20897
fe0215_le_d2res,0.09227574223149906,0.06589571150477841,0.23319813107746734,le5_panelsize0,20897,20897
fe0215_le_d2res_sd,0.16314878575643701,0.1567468192505624,NA,le5_panelsize0,20897,20897
fe0215_le_q5_full,3.7682835018283503,3.6608840537096934,0.1267457958526525,le5_panelsize0,20897,20897
fe0215_le_q5_full_sd,1.1811127600457576,1.215341725004003,NA,le5_panelsize0,20897,20897
fe0215_mlo,2.4743527891866086,2.44506896148175,0.23813201371225168,le5_panelsize0,20897,20897
fe0215_mlo_sd,0.1752561127592478,0.17255379090980408,NA,le5_panelsize0,20897,20897
fe0215_mlo_d2FE,0.031667426698154456,0.023931922081744002,0.14951503932201016,le5_panelsize0,20897,20897
fe0215_mlo_d2FE_sd,0.07059000933615925,0.07565741143203629,NA,le5_panelsize0,20897,20897
fe0215_mlo_d2res,0.10224146108172681,0.06638312009536124,0.31842688146210013,le5_panelsize0,20897,20897
fe0215_mlo_d2res_sd,0.16220357963360088,0.15625257511814314,NA,le5_panelsize0,20897,20897
fe0215_mlo_le,2.4654028899813394,2.4445568121259043,0.1696133405009417,le5_panelsize0,20897,20897
fe0215_mlo_le_sd,0.17482384391699826,0.17279389997152825,NA,le5_panelsize0,20897,20897
fe0215_mlo_le_d2FE,0.031749367859293366,0.023748434747631407,0.15498066206985156,le5_panelsize0,20897,20897
fe0215_mlo_le_d2FE_sd,0.07040239521019392,0.07552625790246187,NA,le5_panelsize0,20897,20897
fe0215_mlo_le_d2res,0.0913932798802362,0.06558525543870006,0.22810521480172288,le5_panelsize0,20897,20897
fe0215_mlo_le_d2res_sd,0.16296469265246089,0.15699026304806044,NA,le5_panelsize0,20897,20897
fe0215_mlo_le_q5_full,3.765072876889152,3.6561611606705227,0.12849033830436707,le5_panelsize0,20897,20897
fe0215_mlo_le_q5_full_sd,1.1810100607849767,1.2161795583330357,NA,le5_panelsize0,20897,20897
fe0215_mlo_q5_full,3.8120887937951324,3.6664707610931533,0.17192512739678367,le5_panelsize0,20897,20897
fe0215_mlo_q5_full_sd,1.1767165389422993,1.2185539290349912,NA,le5_panelsize0,20897,20897
hhi_comp_sirze_eqtp_ma3,0.0011632869828130455,7.703645436546147e-4,0.07857764792760864,le5_panelsize0,20897,20897
hhi_comp_sirze_eqtp_ma3_sd,0.008168770940596358,0.005769626622638718,NA,le5_panelsize0,20897,20897
hhi_comp_sirzecs1_ma3,0.00104756719440851,6.290734021953349e-4,0.08725976950369174,le5_panelsize0,20897,20897
hhi_comp_sirzecs1_ma3_sd,0.008084436610969954,0.005162030849628782,NA,le5_panelsize0,20897,20897
hours_agreement_ind_07,0.5505090054815975,0.5584500875656743,-0.02259330833190688,le5_panelsize0,20897,20897
hours_agreement_ind_07_sd,0.4975072345379258,0.4966261971830315,NA,le5_panelsize0,20897,20897
hours_agreement_ind_07_alt,0.5374617737003058,0.5428814641413067,-0.01537734459500523,le5_panelsize0,20897,20897
hours_agreement_ind_07_alt_sd,0.4986581840484469,0.49821080153076336,NA,le5_panelsize0,20897,20897
ln_apl_ma3,3.823835907089573,3.879398141622803,-0.13936427776312074,le5_panelsize0,20897,20897
ln_apl_ma3_sd,0.5850928165111506,0.5417198987002126,NA,le5_panelsize0,20897,20897
ln_apl_ma3_d2FE,0.026449947033134965,0.03728798917632244,-0.08474740725423248,le5_panelsize0,20897,20897
ln_apl_ma3_d2FE_sd,0.17760587685506313,0.1840540509281716,NA,le5_panelsize0,20897,20897
ln_apl_ma3_d2res,-0.039678210391054215,0.005083467487435752,-0.12365820791575304,le5_panelsize0,20897,20897
ln_apl_ma3_d2res_sd,0.5324517964886838,0.4905204895100718,NA,le5_panelsize0,20897,20897
ln_apl_mean_0215,3.9044084956439664,3.9913174827691082,-0.18574748282720083,le5_panelsize0,20897,20897
ln_apl_mean_0215_sd,0.7473714424331229,0.5631270035226248,NA,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2FE,0.043954161743410394,0.0569578598887757,-0.09330393666618145,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2FE_sd,0.1920518862338162,0.20201783608152465,NA,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2res,0.18866262686785767,0.2625702462147209,-0.17001913346063882,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2res_sd,0.695468363446075,0.5217147623576784,NA,le5_panelsize0,20897,20897
ln_emp_ma3,4.2739062589556776,3.8089040011060806,0.2591065598421052,le5_panelsize0,20897,20897
ln_emp_ma3_sd,2.639802657633996,2.4319399489789815,NA,le5_panelsize0,20897,20897
ln_emp_mean_0215,3.6643626953652615,3.5032630577120965,0.09104158015710509,le5_panelsize0,20897,20897
ln_emp_mean_0215_sd,2.5643127396931926,2.439070310803565,NA,le5_panelsize0,20897,20897
ln_lshare_ma3,-0.24166894613007994,-0.30468569356138486,0.24708025476678286,le5_panelsize0,20897,20897
ln_lshare_ma3_sd,0.3810525071637057,0.33910492178063373,NA,le5_panelsize0,20897,20897
ln_lshare_ma3_d2FE,0.08562303397516659,0.05765212212806263,0.21728165961286192,le5_panelsize0,20897,20897
ln_lshare_ma3_d2FE_sd,0.183861102908205,0.18022736194748418,NA,le5_panelsize0,20897,20897
ln_lshare_ma3_d2res,0.23150742359183266,0.19646356905893178,0.13112404026410995,le5_panelsize0,20897,20897
ln_lshare_ma3_d2res_sd,0.39503451747866286,0.3600743644570076,NA,le5_panelsize0,20897,20897
ln_lshare_mean_0215,-0.1437513817436835,-0.24222635749484425,0.36731809704202745,le5_panelsize0,20897,20897
ln_lshare_mean_0215_sd,0.426705758163812,0.3246768910116677,NA,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2FE,0.09364770052782008,0.05824944859696613,0.23208634822715976,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2FE_sd,0.20162292390689848,0.22891029343789063,NA,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2res,0.319242439060068,0.25616219353279257,0.21640370038517132,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2res_sd,0.4495361510336388,0.3712018391699703,NA,le5_panelsize0,20897,20897
ln_va_ma3,8.040093982856206,7.653088234479787,0.20023007741605836,le5_panelsize0,20897,20897
ln_va_ma3_sd,2.8337382130932673,2.6292342137283646,NA,le5_panelsize0,20897,20897
ln_va_mean_0215,7.552837292184866,7.481366687137784,0.036216606228851485,le5_panelsize0,20897,20897
ln_va_mean_0215_sd,2.924464860597636,2.6504837925829126,NA,le5_panelsize0,20897,20897
mean_age_eqtp_ma3,37.50194924105599,36.81147995609715,0.15908973142557903,le5_panelsize0,20897,20897
mean_age_eqtp_ma3_sd,5.875855323447932,6.3891358180155144,NA,le5_panelsize0,20897,20897
mean_sbr_eqtp_ma3,30211.10619659342,27406.421420779527,0.2016250941432796,le5_panelsize0,20897,20897
mean_sbr_eqtp_ma3_sd,21495.410045671542,17661.929233210492,NA,le5_panelsize0,20897,20897
mean_sx_eqtp_ma3,0.6337843687706161,0.6274367906949142,0.027359346668243405,le5_panelsize0,20897,20897
mean_sx_eqtp_ma3_sd,0.31014686762230476,0.3451364119585727,NA,le5_panelsize0,20897,20897
mean_tenure_eqtp_ma3,2.093319646404555,2.206214864697334,-0.15919847530946257,le5_panelsize0,20897,20897
mean_tenure_eqtp_ma3_sd,0.9374750528457075,1.0642846690496337,NA,le5_panelsize0,20897,20897
naf2d_ma3,46.731597693351425,46.20438328236494,0.034545392463268584,le5_panelsize0,20897,20897
naf2d_ma3_sd,21.650753113869158,21.51506632549446,NA,le5_panelsize0,20897,20897
nbheur2,1594.043170288121,1577.9540081359178,0.04687818454278668,le5_panelsize0,20897,20897
nbheur2_sd,484.8956342843389,485.8544255405115,NA,le5_panelsize0,20897,20897
nbheur3,1476.9208385182349,1455.7627662120124,0.05142471033848032,le5_panelsize0,20897,20897
nbheur3_sd,588.842702985914,574.794477916146,NA,le5_panelsize0,20897,20897
nbsa_ent1,1030.4362496410454,1103.9756879636277,-0.016480433816092276,le5_panelsize0,20897,20897
nbsa_ent1_sd,6487.921842790308,6128.030089287435,NA,le5_panelsize0,20897,20897
participation_siren0912,0.6034011570121178,0.6146354093741815,-0.06067115172296466,le5_panelsize0,20897,20897
participation_siren0912_sd,0.2649603377410925,0.25873199696401444,NA,le5_panelsize0,20897,20897
prod_res_ma3,0.20016069880396176,0.22794797785684326,-0.0745891544013989,le5_panelsize0,20897,20897
prod_res_ma3_sd,0.5531908155075784,0.49911677401713384,NA,le5_panelsize0,20897,20897
prod_res_ma3_d2FE,0.06463452381588723,0.04489694126860018,0.12956836362869248,le5_panelsize0,20897,20897
prod_res_ma3_d2FE_sd,0.21965009229979007,0.21112941969268184,NA,le5_panelsize0,20897,20897
prod_res_ma3_d2res,0.04780958322284417,0.09533444482301957,-0.14499565376797074,le5_panelsize0,20897,20897
prod_res_ma3_d2res_sd,0.4850426502018452,0.4409758943126109,NA,le5_panelsize0,20897,20897
prod_res_mean_0215,0.126461841855652,0.14715868023939116,-0.04532776513720236,le5_panelsize0,20897,20897
prod_res_mean_0215_sd,0.7306727663378914,0.5477829135630583,NA,le5_panelsize0,20897,20897
prod_res_mean_0215_d2FE,0.09664349966655177,0.06703481092680186,0.14243305599143638,le5_panelsize0,20897,20897
prod_res_mean_0215_d2FE_sd,0.32447927944691857,0.25993485939280125,NA,le5_panelsize0,20897,20897
prod_res_mean_0215_d2res,0.13305236994095618,0.18335789706447528,-0.13718161364070638,le5_panelsize0,20897,20897
prod_res_mean_0215_d2res_sd,0.5732551572103493,0.45746704634463325,NA,le5_panelsize0,20897,20897
sbrhour2,15.311187330842007,15.183657031997479,0.014544906218443523,le5_panelsize0,20897,20897
sbrhour2_sd,12.150120941441156,12.644704945836635,NA,le5_panelsize0,20897,20897
sbrhour3,15.164134406341404,14.844323482331031,0.0179228647618578,le5_panelsize0,20897,20897
sbrhour3_sd,24.612007693611726,25.84270085965516,NA,le5_panelsize0,20897,20897
shinscrit_carence_siren0912,0.1754610897560464,0.25567943891684625,-0.2927113108228999,le5_panelsize0,20897,20897
shinscrit_carence_siren0912_sd,0.3579467290253541,0.4150829426375221,NA,le5_panelsize0,20897,20897
shinscrit_sup10cgt_siren0912,0.5156442435577182,0.4867311935993518,0.10332749979345382,le5_panelsize0,20897,20897
shinscrit_sup10cgt_siren0912_sd,0.38871311583922175,0.4026138814576563,NA,le5_panelsize0,20897,20897
sx,0.6042404518043457,0.5899976070830342,0.04107033955341332,le5_panelsize0,20897,20897
sx_sd,0.4890249215079364,0.49184551256090775,NA,le5_panelsize0,20897,20897
tfp_cd_ma3,-0.1753081502421807,-0.13305921002264218,-0.21185446489724116,le5_panelsize0,20897,20897
tfp_cd_ma3_sd,0.29663344070488307,0.2666250116868235,NA,le5_panelsize0,20897,20897
tfp_cd_ma3_d2FE,0.008358817000661073,0.01594807228783769,-0.12413175460610322,le5_panelsize0,20897,20897
tfp_cd_ma3_d2FE_sd,0.08569208014739876,0.08722748768314834,NA,le5_panelsize0,20897,20897
tfp_cd_ma3_d2res,-0.04984915629182952,-0.015189471359466982,-0.18665942861853685,le5_panelsize0,20897,20897
tfp_cd_ma3_d2res_sd,0.2752539559651294,0.24929816527191012,NA,le5_panelsize0,20897,20897
tfp_cd_mean_0215,-0.17520617146064005,-0.11425194055694819,-0.24370135001198917,le5_panelsize0,20897,20897
tfp_cd_mean_0215_sd,0.3746484740231727,0.33147503453898963,NA,le5_panelsize0,20897,20897
tfp_cd_mean_0215_d2FE,0.014491591675549248,0.022206156471401,-0.12692657059934756,le5_panelsize0,20897,20897
tfp_cd_mean_0215_d2FE_sd,0.08396098841130453,0.0879048508584067,NA,le5_panelsize0,20897,20897
tfp_cd_mean_0215_d2res,-0.009786927900943763,0.043452738206880524,-0.2215792405993467,le5_panelsize0,20897,20897
tfp_cd_mean_0215_d2res_sd,0.35990346019517344,0.318426320249708,NA,le5_panelsize0,20897,20897
tfp_tl_ma3,-0.07319127086973766,-0.060835045455339784,-0.09878583590418454,le5_panelsize0,20897,20897
tfp_tl_ma3_sd,0.19054121840434446,0.1620956888022874,NA,le5_panelsize0,20897,20897
tfp_tl_ma3_d2FE,0.002210214994143011,-1.3656097958716518e-5,0.08737523821843773,le5_panelsize0,20897,20897
tfp_tl_ma3_d2FE_sd,0.03592367495644495,0.036065200746173566,NA,le5_panelsize0,20897,20897
tfp_tl_ma3_d2res,-0.03173617692454587,-0.01715608041804694,-0.12067432585422153,le5_panelsize0,20897,20897
tfp_tl_ma3_d2res_sd,0.18486468815692106,0.15561726931312597,NA,le5_panelsize0,20897,20897
tfp_tl_mean_0215,-0.1232059796877323,-0.08209511531120771,-0.24440651551434198,le5_panelsize0,20897,20897
tfp_tl_mean_0215_sd,0.2661229439226647,0.20579804396945417,NA,le5_panelsize0,20897,20897
tfp_tl_mean_0215_d2FE,0.005057902342430009,0.003695918206124653,0.046515580914630254,le5_panelsize0,20897,20897
tfp_tl_mean_0215_d2FE_sd,0.041200664515942155,0.04161512660605534,NA,le5_panelsize0,20897,20897
tfp_tl_mean_0215_d2res,-0.029693811859738736,0.01277903665310265,-0.25548731886628095,le5_panelsize0,20897,20897
tfp_tl_mean_0215_d2res_sd,0.26475327596302733,0.20112674410091375,NA,le5_panelsize0,20897,20897
wage_agreement_fail_07,0.3098407726442182,0.2410245183887916,0.21847336640107956,le5_panelsize0,20897,20897
wage_agreement_fail_07_sd,0.46248816310343194,0.4277519784138836,NA,le5_panelsize0,20897,20897
wage_agreement_fail_07_alt,0.3024974515800204,0.23430517131304532,0.2182527424064931,le5_panelsize0,20897,20897
wage_agreement_fail_07_alt_sd,0.45939800487832777,0.4236088358419738,NA,le5_panelsize0,20897,20897
wage_agreement_ind_07,0.6147220046985121,0.6530210157618214,-0.11250617122808373,le5_panelsize0,20897,20897
wage_agreement_ind_07_sd,0.48672445948486764,0.47606111180461774,NA,le5_panelsize0,20897,20897
wage_agreement_ind_07_alt,0.6001529051987767,0.6348159182804852,-0.10091813383420432,le5_panelsize0,20897,20897
wage_agreement_ind_07_alt_sd,0.4899291432943295,0.4815329828513462,NA,le5_panelsize0,20897,20897
wage_agreement_num_07,2.4194727225267556,2.473949211908932,-0.020149322948762583,le5_panelsize0,20897,20897
wage_agreement_num_07_sd,3.980464939153157,3.659856258603108,NA,le5_panelsize0,20897,20897
wage_agreement_num_07_alt,2.362130479102956,2.404979782932539,-0.01597150600379041,le5_panelsize0,20897,20897
wage_agreement_num_07_alt_sd,3.950187306651814,3.6313849824580005,NA,le5_panelsize0,20897,20897
wage_agreement_share_07,0.520197580868723,0.5807506229219577,-0.19062730233688588,le5_panelsize0,20897,20897
wage_agreement_share_07_sd,0.44653409207274825,0.45190388370594375,NA,le5_panelsize0,20897,20897
wage_agreement_share_07_alt,0.5078687391203053,0.5645602991077895,-0.17737910698516343,le5_panelsize0,20897,20897
wage_agreement_share_07_alt_sd,0.4482508809998888,0.455702806119852,NA,le5_panelsize0,20897,20897
year_cre,1991.965580091132,1990.4539260583044,0.1429995888765224,le5_panelsize0,20897,20897
year_cre_sd,15.232770716102175,14.661174621198716,NA,le5_panelsize0,20897,20897
age_cl,37.59439626417612,37.482283172720535,0.020219599670915366,le5_panelsize10,13493,13493
age_cl_sd,7.75341114990168,7.928596881200358,NA,le5_panelsize10,13493,13493
bnuls_siren0912,0.09521756222623286,0.10227438147981244,-0.10561172990581053,le5_panelsize10,13493,13493
bnuls_siren0912_sd,0.08915119344058448,0.09955361363059294,NA,le5_panelsize10,13493,13493
cgt_siren0912,0.32111529113295606,0.324616546916199,-0.014115460603744495,le5_panelsize10,13493,13493
cgt_siren0912_sd,0.3333620781029058,0.3673868467380181,NA,le5_panelsize10,13493,13493
dads_eqtp_ma3,404.7654427085835,202.4074428457558,0.2176120857722124,le5_panelsize10,13493,13493
dads_eqtp_ma3_sd,1570.9881725222863,995.4245440428969,NA,le5_panelsize10,13493,13493
extwage_agreement_ind_07,0.7453399122807017,0.7953626887896192,-0.16846986260532698,le5_panelsize10,13493,13493
extwage_agreement_ind_07_sd,0.4357297011914023,0.4034792585076403,NA,le5_panelsize10,13493,13493
extwage_agreement_ind_07_alt,0.7281735404392072,0.7739598426826744,-0.14994341669641517,le5_panelsize10,13493,13493
extwage_agreement_ind_07_alt_sd,0.4449605139480235,0.41830876790018384,NA,le5_panelsize10,13493,13493
fe0212_idfhda_ma3,0.13199505974594022,0.1272995720203053,0.02538569180396271,le5_panelsize10,13493,13493
fe0212_idfhda_ma3_sd,0.2637452397936214,0.25939932170918384,NA,le5_panelsize10,13493,13493
fe0215_god2,2.526245426164045,2.492398134649373,0.344327499567199,le5_panelsize10,13493,13493
fe0215_god2_sd,0.14988731851738485,0.1272207510380907,NA,le5_panelsize10,13493,13493
fe0215_god2_d2FE,0.045883927021783164,0.036606215395144213,0.19171148097803026,le5_panelsize10,13493,13493
fe0215_god2_d2FE_sd,0.06505537168177743,0.07166427632883703,NA,le5_panelsize10,13493,13493
fe0215_god2_d2res,0.14319302991322333,0.09985313202360177,0.47580146792497313,le5_panelsize10,13493,13493
fe0215_god2_d2res_sd,0.13791707622029512,0.11902570599969044,NA,le5_panelsize10,13493,13493
fe0215_god2_q5_full,4.165990259740259,4.0289185361854365,0.2000007518663185,le5_panelsize10,13493,13493
fe0215_god2_q5_full_sd,0.9672597150436842,0.9712158652964755,NA,le5_panelsize10,13493,13493
fe0215_le,2.5110215758193184,2.4903541041476065,0.21782891956928652,le5_panelsize10,13493,13493
fe0215_le_sd,0.14218185410755738,0.12566902285936285,NA,le5_panelsize10,13493,13493
fe0215_le_d2FE,0.045602090907160844,0.036306024424305,0.19294127883763157,le5_panelsize10,13493,13493
fe0215_le_d2FE_sd,0.06476228613849823,0.07135409502315336,NA,le5_panelsize10,13493,13493
fe0215_le_d2res,0.12545825707174826,0.09773142710394118,0.3133681424688563,le5_panelsize10,13493,13493
fe0215_le_d2res_sd,0.1317440939061769,0.11814555892240916,NA,le5_panelsize10,13493,13493
fe0215_le_q5_full,4.096142915144133,4.005142729373183,0.1325430950259435,le5_panelsize10,13493,13493
fe0215_le_q5_full_sd,0.973923729690686,0.9679819493354258,NA,le5_panelsize10,13493,13493
fe0215_mlo,2.519785140208715,2.490512402711402,0.30362679183244157,le5_panelsize10,13493,13493
fe0215_mlo_sd,0.14531291314739597,0.12674347743450212,NA,le5_panelsize10,13493,13493
fe0215_mlo_d2FE,0.045749765725844715,0.03650582110297516,0.1912131329987428,le5_panelsize10,13493,13493
